trial,D,W,ID,MT,error,subject_id,group_id,device
40,11.25,0.75,4.016012317988631,487.9021644592285,1,3,0,0
41,11.25,0.75,4.016012317988631,532.9363346099854,0,3,0,0
42,7.0,1.0,3.0241663111307524,705.298900604248,1,3,0,0
43,7.5,0.5,4.0636946753173895,566.7974948883057,1,3,0,0
44,3.75,0.25,4.058893689053568,811.6319179534912,1,3,0,0
45,3.75,0.25,4.058893689053568,541.6650772094727,1,3,0,0
46,11.25,0.75,4.016012317988631,668.8058376312256,1,3,0,0
47,12.0,4.0,2.0,448.9321708679199,0,3,0,0
48,3.5,0.5,3.0588936890535683,450.1814842224121,1,3,0,0
49,3.0,1.0,2.019365324866931,508.4664821624756,0,3,0,0
50,3.75,0.25,4.058893689053568,533.4675312042236,1,3,0,0
51,14.0,2.0,3.009586048829198,469.5286750793457,0,3,0,0
52,3.0,1.0,2.019365324866931,403.23328971862793,1,3,0,0
53,3.5,0.5,3.0588936890535683,431.7786693572998,1,3,0,0
54,7.5,0.5,4.0636946753173895,496.5240955352783,1,3,0,0
55,12.0,4.0,2.0,533.1950187683105,0,3,0,0
56,11.25,0.75,4.016012317988631,450.02079010009766,0,3,0,0
57,15.0,1.0,4.026560826271135,530.4811000823975,0,3,0,0
58,7.5,0.5,4.0636946753173895,694.3559646606445,1,3,0,0
59,12.0,4.0,2.0,536.2548828125,0,3,0,0
0,14.0,2.0,3.009586048829198,566.5090084075928,0,4,1,0
1,3.5,0.5,3.0588936890535683,595.1793193817139,1,4,1,0
2,7.5,0.5,4.0636946753173895,643.0683135986328,0,4,1,0
3,9.0,3.0,2.0031882776310477,460.768461227417,0,4,1,0
4,15.0,1.0,4.026560826271135,517.1737670898438,0,4,1,0
5,7.5,0.5,4.0636946753173895,580.1866054534912,1,4,1,0
6,9.0,3.0,2.0031882776310477,426.8310070037842,0,4,1,0
7,1.75,0.25,3.0588936890535683,698.6017227172852,1,4,1,0
8,1.75,0.25,3.0588936890535683,446.8958377838135,1,4,1,0
9,3.0,1.0,2.019365324866931,429.46839332580566,0,4,1,0
10,14.0,2.0,3.009586048829198,500.2937316894531,0,4,1,0
11,14.0,2.0,3.009586048829198,482.87510871887207,0,4,1,0
12,6.0,2.0,2.004800986263821,447.86787033081055,0,4,1,0
13,12.0,4.0,2.0,467.07606315612793,0,4,1,0
14,12.0,4.0,2.0,415.1222705841065,0,4,1,0
15,3.5,0.5,3.0588936890535683,516.1275863647461,0,4,1,0
16,11.25,0.75,4.016012317988631,414.8740768432617,1,4,1,0
17,9.0,3.0,2.0031882776310477,465.7244682312012,0,4,1,0
18,7.0,1.0,3.0241663111307524,1054.2902946472168,0,4,1,0
19,9.0,3.0,2.0031882776310477,469.8488712310791,0,4,1,0
20,3.0,1.0,2.019365324866931,416.94140434265137,1,4,1,0
21,7.0,1.0,3.0241663111307524,625.1561641693115,1,4,1,0
22,1.75,0.25,3.0588936890535683,596.2545871734619,1,4,1,0
23,14.0,2.0,3.009586048829198,582.9141139984131,0,4,1,0
24,11.25,0.75,4.016012317988631,531.8474769592285,1,4,1,0
25,15.0,1.0,4.026560826271135,730.2448749542236,0,4,1,0
26,11.25,0.75,4.016012317988631,596.8992710113525,1,4,1,0
27,3.0,1.0,2.019365324866931,502.7182102203369,0,4,1,0
28,3.75,0.25,4.058893689053568,613.0001544952393,1,4,1,0
29,12.0,4.0,2.0,450.91867446899414,0,4,1,0
30,11.25,0.75,4.016012317988631,468.4603214263916,0,4,1,0
31,6.0,2.0,2.004800986263821,728.8486957550049,0,4,1,0
32,1.75,0.25,3.0588936890535683,529.6995639801025,1,4,1,0
33,3.0,1.0,2.019365324866931,427.6878833770752,0,4,1,0
34,6.0,2.0,2.004800986263821,510.2128982543946,0,4,1,0
35,7.5,0.5,4.0636946753173895,547.1847057342529,0,4,1,0
36,7.5,0.5,4.0636946753173895,566.7524337768555,1,4,1,0
37,3.75,0.25,4.058893689053568,539.0172004699707,1,4,1,0
38,3.5,0.5,3.0588936890535683,487.1428012847901,1,4,1,0
39,3.0,1.0,2.019365324866931,487.9786968231201,0,4,1,0
40,12.0,4.0,2.0,614.4607067108154,0,4,1,0
41,15.0,1.0,4.026560826271135,867.3124313354492,0,4,1,0
42,7.0,1.0,3.0241663111307524,467.9622650146485,0,4,1,0
43,6.0,2.0,2.004800986263821,486.3049983978271,0,4,1,0
44,7.0,1.0,3.0241663111307524,563.2932186126709,0,4,1,0
45,7.0,1.0,3.0241663111307524,509.7808837890625,1,4,1,0
46,3.75,0.25,4.058893689053568,712.9099369049072,1,4,1,0
47,3.5,0.5,3.0588936890535683,612.8771305084229,0,4,1,0
48,3.75,0.25,4.058893689053568,583.6422443389893,1,4,1,0
49,3.5,0.5,3.0588936890535683,534.7201824188232,1,4,1,0
50,14.0,2.0,3.009586048829198,599.8656749725342,0,4,1,0
51,15.0,1.0,4.026560826271135,739.6876811981201,1,4,1,0
52,6.0,2.0,2.004800986263821,498.671293258667,0,4,1,0
